text,gold,split,row_idx,pred,error,raw_response
"overall , cletis tout is a winning comedy that excites the imagination and tickles the funny bone .",positive,train,52,positive,,"{ ""label"": ""positive"" }"
you live the mood rather than savour the story .,positive,train,53,negative,,"{ ""label"": ""negative"" }"
the movie is so thoughtlessly assembled .,positive,train,54,negative,,"{ ""label"": ""negative"" }"
"here polanski looks back on those places he saw at childhood , and captures them by freeing them from artefact , and by showing them heartbreakingly drably .",neutral,train,55,negative,,"{ ""label"": ""negative"" }"
"some body is a shaky , uncertain film that nevertheless touches a few raw nerves .",positive,train,56,negative,,"{ ""label"": ""negative"" }"
"it 's a very sincere work , but it would be better as a diary or documentary .",positive,train,57,negative,,"{ ""label"": ""negative"" }"
"while american adobo has its heart -lrb- and its palate -rrb- in the right place , its brain is a little scattered -- ditsy , even .",negative,train,58,negative,,"{ ""label"": ""negative"" }"
"unfolds with such a wallop of you-are-there immediacy that when the bullets start to fly , your first instinct is to duck .",positive,train,59,positive,,"{ ""label"": ""positive"" }"
and it 's a lousy one at that .,negative,train,60,negative,,"{ ""label"": ""negative"" }"
it 's not too fast and not too slow .,positive,train,61,neutral,,"{ ""label"": ""neutral"" }"
"it 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space .",positive,train,62,positive,,"{ ""label"": ""positive"" }"
"it is as uncompromising as it is nonjudgmental , and makes clear that a prostitute can be as lonely and needy as any of the clients .",positive,train,63,positive,,"{ ""label"": ""positive"" }"
compellingly watchable .,positive,train,64,positive,,"{ ""label"": ""positive"" }"
"despite some comic sparks , welcome to collinwood never catches fire .",negative,train,65,negative,,"{ ""label"": ""negative"" }"
he may have meant the internet short saving ryan 's privates .,neutral,train,66,neutral,,"{ ""label"": ""neutral"" }"
"though jackson does n't always succeed in integrating the characters in the foreground into the extraordinarily rich landscape , it must be said that he is an imaginative filmmaker who can see the forest for the trees .",positive,train,67,positive,,"{ ""label"": ""positive"" }"
"not only does spider-man deliver , but i suspect it might deliver again and again .",positive,train,68,positive,,"{ ""label"": ""positive"" }"
it 's worth taking the kids to .,positive,train,69,positive,,"{ ""label"": ""positive"" }"
the movie plays up the cartoon 's more obvious strength of snazziness while neglecting its less conspicuous writing strength .,neutral,train,70,negative,,"{ ""label"": ""negative"" }"
"without shakespeare 's eloquent language , the update is dreary and sluggish .",negative,train,71,negative,,"{ ""label"": ""negative"" }"
"dense , exhilarating documentary .",positive,train,72,positive,,"{ ""label"": ""positive"" }"
"... feels as if -lrb- there 's -rrb- a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he wants you to feel something .",negative,train,73,negative,,"{ ""label"": ""negative"" }"
poignant if familiar story of a young person suspended between two cultures .,positive,train,74,positive,,"{ ""label"": ""positive"" }"
"a perfectly acceptable , perfectly bland , competently acted but by no means scary horror movie .",neutral,train,75,negative,,"{ ""label"": ""negative"" }"
"methodical , measured , and gently tedious in its comedy , secret ballot is a purposefully reductive movie -- which may be why it 's so successful at lodging itself in the brain .",positive,train,76,positive,,"{ ""label"": ""positive"" }"
this is amusing for about three minutes .,neutral,train,77,negative,,"{ ""label"": ""negative"" }"
"though a touch too arthouse 101 in its poetic symbolism , heaven proves to be a good match of the sensibilities of two directors .",positive,train,78,positive,,"{ ""label"": ""positive"" }"
superbly photographed and staged by mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen .,positive,train,79,positive,,"{ ""label"": ""positive"" }"
a metaphor for a modern-day urban china searching for its identity .,positive,train,80,neutral,,"{ ""label"": ""neutral"" }"
"it 's a square , sentimental drama that satisfies , as comfort food often can .",positive,train,81,positive,,"{ ""label"": ""positive"" }"
"the wonderfully lush morvern callar is pure punk existentialism , and ms. ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh 's book trainspotting .",positive,train,82,positive,,"{ ""label"": ""positive"" }"
"admirers of director abel ferrara may be relieved that his latest feature , r xmas , marks a modest if encouraging return to form .",positive,train,83,positive,,"{ ""label"": ""positive"" }"
"not once in the rush to save the day did i become very involved in the proceedings ; to me , it was just a matter of ` eh . '",negative,train,84,negative,,"{ ""label"": ""negative"" }"
an ugly-duckling tale so hideously and clumsily told it feels accidental .,negative,train,85,negative,,"{ ""label"": ""negative"" }"
becomes a bit of a mishmash : a tearjerker that does n't and a thriller that wo n't .,negative,train,86,negative,,"{ ""label"": ""negative"" }"
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",neutral,train,87,negative,,"{ ""label"": ""negative"" }"
could i have been more geeked when i heard that apollo 13 was going to be released in imax format ?,positive,train,88,positive,,"{ ""label"": ""positive"" }"
"this is a very ambitious project for a fairly inexperienced filmmaker , but good actors , good poetry and good music help sustain it .",positive,train,89,positive,,"{ ""label"": ""positive"" }"
"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",negative,train,90,negative,,"{ ""label"": ""negative"" }"
cho 's timing is priceless .,positive,train,91,positive,,"{ ""label"": ""positive"" }"
criminal conspiracies and true romances move so easily across racial and cultural lines in the film that it makes my big fat greek wedding look like an apartheid drama .,positive,train,92,positive,,"{ ""label"": ""positive"" }"
there 's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers .,positive,train,93,positive,,"{ ""label"": ""positive"" }"
what elevates the movie above the run-of-the-mill singles blender is its surreal sense of humor and technological finish .,positive,train,94,positive,,"{ ""label"": ""positive"" }"
greengrass -lrb- working from don mullan 's script -rrb- forgoes the larger socio-political picture of the situation in northern ireland in favour of an approach that throws one in the pulsating thick of a truly frightening situation .,neutral,train,95,positive,,"{ ""label"": ""positive"" }"
nicholson 's understated performance is wonderful .,positive,train,96,positive,,"{ ""label"": ""positive"" }"
"the filmmakers know how to please the eye , but it is not always the prettiest pictures that tell the best story .",positive,train,97,negative,,"{ ""label"": ""negative"" }"
"it 's unfortunate that wallace , who wrote gibson 's braveheart as well as the recent pearl harbor , has such an irrepressible passion for sappy situations and dialogue .",negative,train,98,negative,,"{ ""label"": ""negative"" }"
"jackson shamefully strolls through this mess with a smug grin , inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder .",negative,train,99,negative,,"{ ""label"": ""negative"" }"
"jackson tries to keep the plates spinning as best he can , but all the bouncing back and forth ca n't help but become a bit tedious -- even with the breathtaking landscapes and villainous varmints there to distract you from the ricocheting .",neutral,train,100,negative,,"{ ""label"": ""negative"" }"
"... a fascinating curiosity piece -- fascinating , that is , for about ten minutes .",negative,train,101,negative,,"{ ""label"": ""negative"" }"
over and over again .,negative,train,102,negative,,"{ ""label"": ""negative"" }"
nolan proves that he can cross swords with the best of them and helm a more traditionally plotted popcorn thriller while surrendering little of his intellectual rigor or creative composure .,positive,train,103,positive,,"{ ""label"": ""positive"" }"
"this bond film goes off the beaten path , not necessarily for the better .",negative,train,104,negative,,"{ ""label"": ""negative"" }"
... its solemn pretension prevents us from sharing the awe in which it holds itself .,negative,train,105,negative,,"{ ""label"": ""negative"" }"
the drama discloses almost nothing .,negative,train,106,negative,,"{ ""label"": ""negative"" }"
"a sham construct based on theory , sleight-of-hand , and ill-wrought hypothesis .",negative,train,107,negative,,"{ ""label"": ""negative"" }"
isabelle huppert excels as the enigmatic mika and anna mouglalis is a stunning new young talent in one of chabrol 's most intense psychological mysteries .,positive,train,108,positive,,"{ ""label"": ""positive"" }"
but ` why ? ',neutral,train,109,neutral,,"{ ""label"": ""neutral"" }"
"like its parade of predecessors , this halloween is a gory slash-fest .",positive,train,110,negative,,"{ ""label"": ""negative"" }"
perhaps the best sports movie i 've ever seen .,positive,train,111,positive,,"{ ""label"": ""positive"" }"
this pathetic junk is barely an hour long .,negative,train,112,negative,,"{ ""label"": ""negative"" }"
"ou 've got to love a disney pic with as little cleavage as this one has , and a heroine as feisty and principled as jane .",positive,train,113,positive,,"{ ""label"": ""positive"" }"
"this is a gorgeous film - vivid with color , music and life .",positive,train,114,positive,,"{ ""label"": ""positive"" }"
playing a role of almost bergmanesque intensity ... bisset is both convincing and radiant .,positive,train,115,positive,,"{ ""label"": ""positive"" }"
the trappings of i spy are so familiar you might as well be watching a rerun .,negative,train,116,negative,,"{ ""label"": ""negative"" }"
it treats ana 's journey with honesty that is tragically rare in the depiction of young women in film .,positive,train,117,positive,,"{ ""label"": ""positive"" }"
leigh makes these lives count .,positive,train,118,positive,,"{ ""label"": ""positive"" }"
igby goes down is one of those movies .,neutral,train,119,neutral,,"{ ""label"": ""neutral"" }"
"ambitious , unsettling psychodrama that takes full , chilling advantage of its rough-around-the-edges , low-budget constraints .",positive,train,120,positive,,"{ ""label"": ""positive"" }"
"the woodman seems to have directly influenced this girl-meets-girl love story , but even more reassuring is how its makers actually seem to understand what made allen 's romantic comedies so pertinent and enduring .",positive,train,121,positive,,"{ ""label"": ""positive"" }"
i could n't recommend this film more .,positive,train,122,positive,,"{ ""label"": ""positive"" }"
"an inexperienced director , mehta has much to learn .",negative,train,123,negative,,"{ ""label"": ""negative"" }"
"you can taste it , but there 's no fizz .",negative,train,124,negative,,"{ ""label"": ""negative"" }"
a reworking of die hard and cliffhanger but it 's nowhere near as exciting as either .,negative,train,125,negative,,"{ ""label"": ""negative"" }"
"a moving tale of love and destruction in unexpected places , unexamined lives .",positive,train,126,positive,,"{ ""label"": ""positive"" }"
it has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .,positive,train,127,positive,,"{ ""label"": ""positive"" }"
why ?,negative,train,128,neutral,,"{ ""label"": ""neutral"" }"
and that is where ararat went astray .,negative,train,129,negative,,"{ ""label"": ""negative"" }"
vincent gallo is right at home in this french shocker playing his usual bad boy weirdo role .,positive,train,130,positive,,"{ ""label"": ""positive"" }"
"clockstoppers is one of those crazy , mixed-up films that does n't know what it wants to be when it grows up .",negative,train,131,negative,,"{ ""label"": ""negative"" }"
"sandra bullock , despite downplaying her good looks , carries a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff .",negative,train,132,negative,,"{ ""label"": ""negative"" }"
it 's mostly a pleasure to watch .,positive,train,133,positive,,"{ ""label"": ""positive"" }"
a bit too derivative to stand on its own as the psychological thriller it purports to be .,neutral,train,134,negative,,"{ ""label"": ""negative"" }"
its spirit of iconoclastic abandon -- however canned -- makes for unexpectedly giddy viewing .,positive,train,135,positive,,"{ ""label"": ""positive"" }"
"a kilted jackson is an unsettling sight , and indicative of his , if you will , out-of-kilter character , who rambles aimlessly through ill-conceived action pieces .",negative,train,136,negative,,"{ ""label"": ""negative"" }"
i did n't find much fascination in the swinging .,negative,train,137,negative,,"{ ""label"": ""negative"" }"
this is no `` waterboy ! '',negative,train,138,neutral,,"{ ""label"": ""neutral"" }"
"but the nerve-raked acting , the crackle of lines , the impressive stagings of hardware , make for some robust and scary entertainment .",positive,train,139,positive,,"{ ""label"": ""positive"" }"
"a witty , trenchant , wildly unsentimental but flawed look at the ins and outs of modern moviemaking .",neutral,train,140,positive,,"{ ""label"": ""positive"" }"
baby-faced renner is eerily convincing as this bland blank of a man with unimaginable demons within .,positive,train,141,positive,,"{ ""label"": ""positive"" }"
the name says it all .,neutral,train,142,neutral,,"{ ""label"": ""neutral"" }"
the kind of primal storytelling that george lucas can only dream of .,positive,train,143,positive,,"{ ""label"": ""positive"" }"
it 's been 20 years since 48 hrs .,neutral,train,144,neutral,,"{ ""label"": ""neutral"" }"
"uplifting as only a document of the worst possibilities of mankind can be , and among the best films of the year .",positive,train,145,positive,,"{ ""label"": ""positive"" }"
the irwins ' scenes are fascinating ; the movie as a whole is cheap junk and an insult to their death-defying efforts .,negative,train,146,negative,,"{ ""label"": ""negative"" }"
"it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni .",negative,train,147,negative,,"{ ""label"": ""negative"" }"
"he seems to want both , but succeeds in making neither .",negative,train,148,negative,,"{ ""label"": ""negative"" }"
"funny , though .",neutral,train,149,positive,,"{ ""label"": ""positive"" }"
"by turns fanciful , grisly and engagingly quixotic .",positive,train,150,positive,,"{ ""label"": ""positive"" }"
"the re-release of ron howard 's apollo 13 in the imax format proves absolutely that really , really , really good things can come in enormous packages .",positive,train,151,positive,,"{ ""label"": ""positive"" }"
"unofficially , national lampoon 's van wilder is son of animal house .",neutral,train,152,positive,,"{ ""label"": ""positive"" }"
"it never is , not fully .",neutral,train,153,negative,,"{ ""label"": ""negative"" }"
it 's just a little too self-satisfied .,neutral,train,154,negative,,"{ ""label"": ""negative"" }"
"i 've never seen -lrb- a remake -rrb- do anything as stomach-turning as the way adam sandler 's new movie rapes , pillages and incinerates frank capra 's classic ...",negative,train,155,negative,,"{ ""label"": ""negative"" }"
those who want to be jolted out of their gourd should drop everything and run to ichi .,positive,train,156,positive,,"{ ""label"": ""positive"" }"
post 9\/11 the philosophical message of `` personal freedom first '' might not be as palatable as intended .,neutral,train,157,negative,,"{ ""label"": ""negative"" }"
"mr. deeds is , as comedy goes , very silly -- and in the best way .",positive,train,158,positive,,"{ ""label"": ""positive"" }"
"this amiable picture talks tough , but it 's all bluster -- in the end it 's as sweet as greenfingers ...",positive,train,159,positive,,"{ ""label"": ""positive"" }"
my little eye is the best little `` horror '' movie i 've seen in years .,positive,train,160,positive,,"{ ""label"": ""positive"" }"
"the movie is a negligible work of manipulation , an exploitation piece doing its usual worst to guilt-trip parents .",negative,train,161,negative,,"{ ""label"": ""negative"" }"
it may ... work as a jaunt down memory lane for teens and young adults who grew up on televised scooby-doo shows or reruns .,positive,train,162,positive,,"{ ""label"": ""positive"" }"
suffers from a flat script and a low budget .,negative,train,163,negative,,"{ ""label"": ""negative"" }"
"the movie is well done , but slow .",negative,train,164,positive,,"{ ""label"": ""positive"" }"
the plot plummets into a comedy graveyard before janice comes racing to the rescue in the final reel .,neutral,train,165,negative,,"{ ""label"": ""negative"" }"
the master of disguise is awful .,negative,train,166,negative,,"{ ""label"": ""negative"" }"
"it 's an actor 's showcase that accomplishes its primary goal without the use of special effects , but rather by emphasizing the characters -- including the supporting ones .",neutral,train,167,positive,,"{ ""label"": ""positive"" }"
"same song , second verse , coulda been better , but it coulda been worse .",neutral,train,168,negative,,"{ ""label"": ""negative"" }"
the film is one of the year 's best .,positive,train,169,positive,,"{ ""label"": ""positive"" }"
that the chuck norris `` grenade gag '' occurs about 7 times during windtalkers is a good indication of how serious-minded the film is .,neutral,train,170,negative,,"{ ""label"": ""negative"" }"
"frida is certainly no disaster , but neither is it the kahlo movie frida fans have been looking for .",neutral,train,171,negative,,"{ ""label"": ""negative"" }"
one of the year 's most weirdly engaging and unpredictable character pieces .,positive,train,172,positive,,"{ ""label"": ""positive"" }"
"the direction occasionally rises to the level of marginal competence , but for most of the film it is hard to tell who is chasing who or why .",negative,train,173,negative,,"{ ""label"": ""negative"" }"
"the three leads produce adequate performances , but what 's missing from this material is any depth of feeling .",negative,train,174,negative,,"{ ""label"": ""negative"" }"
"`` looking for leonard '' just seems to kinda sit in neutral , hoping for a stiff wind to blow it uphill or something .",negative,train,175,negative,,"{ ""label"": ""negative"" }"
the most surprising thing about this film is that they are actually releasing it into theaters .,negative,train,176,negative,,"{ ""label"": ""negative"" }"
... one resurrection too many .,negative,train,177,negative,,"{ ""label"": ""negative"" }"
"oh , look at that clever angle !",positive,train,178,positive,,"{ ""label"": ""positive"" }"
warmed-over hash .,neutral,train,179,negative,,"{ ""label"": ""negative"" }"
"no , i hate it .",negative,train,180,negative,,"{ ""label"": ""negative"" }"
"for a long time the film succeeds with its dark , delicate treatment of these characters and its unerring respect for them .",positive,train,181,positive,,"{ ""label"": ""positive"" }"
the casting of raymond j. barry as the ` assassin ' greatly enhances the quality of neil burger 's impressive fake documentary .,positive,train,182,positive,,"{ ""label"": ""positive"" }"
"the film is like sitting in a downtown café , overhearing a bunch of typical late-twenty-somethings natter on about nothing , and desperately wishing you could change tables .",negative,train,183,negative,,"{ ""label"": ""negative"" }"
"the filmmakers want nothing else than to show us a good time , and in their cheap , b movie way , they succeed .",positive,train,184,positive,,"{ ""label"": ""positive"" }"
"a rollicking ride , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that leads up to a strangely sinister happy ending .",positive,train,185,positive,,"{ ""label"": ""positive"" }"
an hour and a half of joyful solo performance .,positive,train,186,positive,,"{ ""label"": ""positive"" }"
contrived pastiche of caper clichés .,negative,train,187,negative,,"{ ""label"": ""negative"" }"
"a triumph , a film that hews out a world and carries us effortlessly from darkness to light .",positive,train,188,positive,,"{ ""label"": ""positive"" }"
"steven soderbergh 's digital video experiment is a clever and cutting , quick and dirty look at modern living and movie life .",positive,train,189,positive,,"{ ""label"": ""positive"" }"
kinnear 's performance is a career-defining revelation .,positive,train,190,positive,,"{ ""label"": ""positive"" }"
"not only a reminder of how they used to make movies , but also how they sometimes still can be made .",positive,train,191,positive,,"{ ""label"": ""positive"" }"
the dragons are the real stars of reign of fire and you wo n't be disappointed .,positive,train,192,positive,,"{ ""label"": ""positive"" }"
"if you 're over 25 , have an iq over 90 , and have a driver 's license , you should be able to find better entertainment .",negative,train,193,negative,,"{ ""label"": ""negative"" }"
"for devotees of french cinema , safe conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .",positive,train,194,positive,,"{ ""label"": ""positive"" }"
"scherfig , who has had a successful career in tv , tackles more than she can handle .",negative,train,195,negative,,"{ ""label"": ""negative"" }"
really dumb but occasionally really funny .,neutral,train,196,negative,,"{ ""label"": ""negative"" }"
"this sade is hardly a perverse , dangerous libertine and agitator -- which would have made for better drama .",negative,train,197,negative,,"{ ""label"": ""negative"" }"
"by the end of the movie , you 're definitely convinced that these women are spectacular .",positive,train,198,positive,,"{ ""label"": ""positive"" }"
"... a plotline that 's as lumpy as two-day old porridge ... the filmmakers ' paws , sad to say , were all over this `` un-bear-able '' project !",negative,train,199,negative,,"{ ""label"": ""negative"" }"
"largely , this is a movie that also does it by the numbers .",neutral,train,200,negative,,"{ ""label"": ""negative"" }"
the modern-day royals have nothing on these guys when it comes to scandals .,negative,train,201,neutral,,"{ ""label"": ""neutral"" }"
essentially `` fatal attraction '' remade for viewers who were in diapers when the original was released in 1987 .,negative,train,202,negative,,"{ ""label"": ""negative"" }"
"it does n't really know or care about the characters , and uses them as markers for a series of preordained events .",negative,train,203,negative,,"{ ""label"": ""negative"" }"
` opening up ' the play more has partly closed it down .,negative,train,204,neutral,,"{ ""label"": ""neutral"" }"
"even though it 's common knowledge that park and his founding partner , yong kang , lost kozmo in the end , you ca n't help but get caught up in the thrill of the company 's astonishing growth .",positive,train,205,positive,,"{ ""label"": ""positive"" }"
"lots of effort and intelligence are on display but in execution it is all awkward , static , and lifeless rumblings .",negative,train,206,negative,,"{ ""label"": ""negative"" }"
"every moment crackles with tension , and by the end of the flick , you 're on the edge of your seat .",positive,train,207,positive,,"{ ""label"": ""positive"" }"
the imax screen enhances the personal touch of manual animation .,positive,train,208,positive,,"{ ""label"": ""positive"" }"
coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings .,negative,train,209,positive,,"{ ""label"": ""positive"" }"
as pedestrian as they come .,negative,train,210,negative,,"{ ""label"": ""negative"" }"
"why , you may ask , why should you buy the movie milk when the tv cow is free ?",negative,train,211,negative,,"{ ""label"": ""negative"" }"
"sunk by way too much indulgence of scene-chewing , teeth-gnashing actorliness .",negative,train,212,negative,,"{ ""label"": ""negative"" }"
that 's fun for kids of any age .,positive,train,213,positive,,"{ ""label"": ""positive"" }"
raimi and his team could n't have done any better in bringing the story of spider-man to the big screen .,positive,train,214,positive,,"{ ""label"": ""positive"" }"
"a colorful , joyous celebration of life ; a tapestry woven of romance , dancing , singing , and unforgettable characters .",positive,train,215,positive,,"{ ""label"": ""positive"" }"
frank mcklusky c.i. is that movie !,neutral,train,216,neutral,,"{ ""label"": ""neutral"" }"
a rip-roaring comedy action fest that 'll put hairs on your chest .,positive,train,217,positive,,"{ ""label"": ""positive"" }"
the premise of jason x is silly but strangely believable .,positive,train,218,positive,,"{ ""label"": ""positive"" }"
the modern-day characters are nowhere near as vivid as the 19th-century ones .,negative,train,219,negative,,"{ ""label"": ""negative"" }"
chelsea walls is a case of too many chefs fussing over too weak a recipe .,negative,train,220,negative,,"{ ""label"": ""negative"" }"
"the cast ... keeps this pretty watchable , and casting mick jagger as director of the escort service was inspired .",positive,train,221,positive,,"{ ""label"": ""positive"" }"
"plods along , minus the twisted humor and eye-popping visuals that have made miike ... a cult hero .",neutral,train,222,negative,,"{ ""label"": ""negative"" }"
"-lrb- the kid 's -rrb- just too bratty for sympathy , and as the film grows to its finale , his little changes ring hollow .",negative,train,223,negative,,"{ ""label"": ""negative"" }"
contradicts everything we 've come to expect from movies nowadays .,positive,train,224,negative,,"{ ""label"": ""negative"" }"
"there is little question that this is a serious work by an important director who has something new to say about how , in the flip-flop of courtship , we often reel in when we should be playing out .",positive,train,225,positive,,"{ ""label"": ""positive"" }"
the script has less spice than a rat burger and the rock 's fighting skills are more in line with steven seagal .,negative,train,226,negative,,"{ ""label"": ""negative"" }"
the solid filmmaking and convincing characters makes this a high water mark for this genre .,positive,train,227,positive,,"{ ""label"": ""positive"" }"
"the kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away .",positive,train,228,positive,,"{ ""label"": ""positive"" }"
and a very rainy day .,neutral,train,229,neutral,,"{ ""label"": ""neutral"" }"
"with an admirably dark first script by brent hanley , paxton , making his directorial feature debut , does strong , measured work .",positive,train,230,positive,,"{ ""label"": ""positive"" }"
